number,ticker,cap,name,industry,sector
1050,COMP,3.61B,"Compass, Inc.",Real Estate Services,Real Estate
1051,BRC,3.61B,Brady Corporation,Security & Protection Services,Industrials
1052,CSAN,3.60B,Cosan S.A.,Oil & Gas Refining & Marketing,Energy
1053,ABM,3.60B,ABM Industries Incorporated,Specialty Business Services,Industrials
1054,HBM,3.59B,Hudbay Minerals Inc.,Copper,Materials
1055,AEO,3.59B,"American Eagle Outfitters, Inc.",Apparel Retail,Consumer Discretionary
1056,ASAN,3.58B,"Asana, Inc.",Software - Application,Technology
1057,SAM,3.57B,"The Boston Beer Company, Inc.",Beverages - Brewers,Consumer Staples
1058,CXT,3.56B,"Crane NXT, Co.",Specialty Industrial Machinery,Industrials
1059,HAYW,3.53B,"Hayward Holdings, Inc.",Electrical Equipment & Parts,Industrials
1060,RNG,3.53B,"RingCentral, Inc.",Software - Application,Technology
1061,LPL,3.52B,"LG Display Co., Ltd.",Consumer Electronics,Technology
1062,FBP,3.52B,First BanCorp.,Banks - Regional,Financials
1063,HIW,3.50B,"Highwoods Properties, Inc.",REIT - Office,Real Estate
1064,NHI,3.50B,"National Health Investors, Inc.",REIT - Healthcare Facilities,Real Estate
1065,ENV,3.49B,"Envestnet, Inc.",Software - Application,Technology
1066,DV,3.49B,"DoubleVerify Holdings, Inc.",Software - Application,Technology
1067,HP,3.48B,"Helmerich & Payne, Inc.",Oil & Gas Drilling,Energy
1068,CWK,3.48B,Cushman & Wakefield plc,Real Estate Services,Real Estate
1069,KGS,3.48B,"Kodiak Gas Services, Inc.",Oil & Gas Equipment & Services,Energy
1070,GEF.B,3.46B,"Greif, Inc.",Packaging & Containers,Consumer Discretionary
1071,EPR,3.46B,EPR Properties,REIT - Specialty,Real Estate
1072,HUN,3.45B,Huntsman Corporation,Chemicals,Materials
1073,VAC,3.44B,Marriott Vacations Worldwide Corporation,Resorts & Casinos,Consumer Discretionary
1074,UGP,3.44B,Ultrapar Participações S.A.,Oil & Gas Refining & Marketing,Energy
1075,YETI,3.44B,"YETI Holdings, Inc.",Leisure,Consumer Discretionary
1076,ATGE,3.43B,Adtalem Global Education Inc.,Education & Training Services,Consumer Staples
1077,BNL,3.43B,"Broadstone Net Lease, Inc.",REIT - Diversified,Real Estate
1078,MIR,3.43B,"Mirion Technologies, Inc.",Specialty Industrial Machinery,Industrials
1079,HL,3.41B,Hecla Mining Company,Other Precious Metals & Mining,Materials
1080,GEF,3.40B,"Greif, Inc.",Packaging & Containers,Consumer Discretionary
1081,MP,3.40B,MP Materials Corp.,Other Industrial Metals & Mining,Materials
1082,CRGY,3.39B,Crescent Energy Company,Oil & Gas Integrated,Energy
1083,VAL,3.39B,Valaris Limited,Oil & Gas Equipment & Services,Energy
1084,SXT,3.35B,Sensient Technologies Corporation,Specialty Chemicals,Materials
1085,TFPM,3.34B,Triple Flag Precious Metals Corp.,Other Precious Metals & Mining,Materials
1086,GNW,3.34B,"Genworth Financial, Inc.",Insurance - Life,Financials
1087,VRN,3.33B,Veren Inc.,Oil & Gas Exploration & Production,Energy
1088,GRBK,3.33B,"Green Brick Partners, Inc.",Residential Construction,Consumer Discretionary
1089,SSL,3.32B,Sasol Limited,Specialty Chemicals,Materials
1090,FHI,3.32B,"Federated Hermes, Inc.",Asset Management,Financials
1091,CWEN,3.31B,"Clearway Energy, Inc.",Utilities - Renewable,Utilities
1092,BXMT,3.31B,"Blackstone Mortgage Trust, Inc.",REIT - Mortgage,Real Estate
1093,ATKR,3.30B,Atkore Inc.,Electrical Equipment & Parts,Industrials
1094,ATHM,3.30B,Autohome Inc.,Internet Content & Information,Communication Services
1095,CC,3.28B,The Chemours Company,Specialty Chemicals,Materials
1096,IAG,3.26B,IAMGOLD Corporation,Gold,Materials
1097,ECG,3.26B,"Everus Construction Group, Inc.",Engineering & Construction,Industrials
1098,BSM,3.24B,"Black Stone Minerals, L.P.",Oil & Gas Exploration & Production,Energy
1099,AMR,3.24B,"Alpha Metallurgical Resources, Inc.",Coking Coal,Materials
1100,BKU,3.23B,"BankUnited, Inc.",Banks - Regional,Financials
1101,AWR,3.23B,American States Water Company,Utilities - Regulated Water,Utilities
1102,LCII,3.23B,LCI Industries,Recreational Vehicles,Consumer Discretionary
1103,ACHR,3.22B,Archer Aviation Inc.,Aerospace & Defense,Industrials
1104,OUT,3.21B,OUTFRONT Media Inc.,REIT - Specialty,Real Estate
1105,IFS,3.20B,Intercorp Financial Services Inc.,Banks - Regional,Financials
1106,TAC,3.20B,TransAlta Corporation,Utilities - Independent Power Producers,Utilities
1107,BOH,3.20B,Bank of Hawaii Corporation,Banks - Regional,Financials
1108,EGO,3.20B,Eldorado Gold Corporation,Gold,Materials
1109,PK,3.20B,Park Hotels & Resorts Inc.,REIT - Hotel & Motel,Real Estate
1110,EE,3.20B,"Excelerate Energy, Inc.",Oil & Gas Midstream,Energy
1111,ARCH,3.18B,"Arch Resources, Inc.",Coking Coal,Materials
1112,DFH,3.17B,"Dream Finders Homes, Inc.",Residential Construction,Consumer Discretionary
1113,IIPR,3.17B,"Innovative Industrial Properties, Inc.",REIT - Industrial,Real Estate
1114,BTU,3.16B,Peabody Energy Corporation,Thermal Coal,Energy
1115,OKLO,3.13B,Oklo Inc.,Utilities - Regulated Electric,Utilities
1116,GPOR,3.13B,Gulfport Energy Corporation,Oil & Gas Exploration & Production,Energy
1117,RSI,3.11B,"Rush Street Interactive, Inc.",Gambling,Consumer Discretionary
1118,AKR,3.11B,Acadia Realty Trust,REIT - Retail,Real Estate
1119,PRKS,3.11B,United Parks & Resorts Inc.,Leisure,Consumer Discretionary
1120,TRN,3.11B,"Trinity Industries, Inc.",Railroads,Industrials
1121,AVA,3.11B,Avista Corporation,Utilities - Diversified,Utilities
1122,CWT,3.09B,California Water Service Group,Utilities - Regulated Water,Utilities
1123,SGHC,3.09B,Super Group (SGHC) Limited,Gambling,Consumer Discretionary
1124,ATS,3.06B,ATS Corporation,Specialty Industrial Machinery,Industrials
1125,LBRT,3.06B,Liberty Energy Inc.,Oil & Gas Equipment & Services,Energy
1126,ESRT,3.05B,"Empire State Realty Trust, Inc.",REIT - Diversified,Real Estate
1127,TGNA,3.05B,TEGNA Inc.,Broadcasting,Communication Services
1128,BVN,3.05B,Compañía de Minas Buenaventura S.A.A.,Other Precious Metals & Mining,Materials
1129,UE,3.05B,Urban Edge Properties,REIT - Retail,Real Estate
1130,CPK,3.05B,Chesapeake Utilities Corporation,Utilities - Regulated Gas,Utilities
1131,MAN,3.04B,ManpowerGroup Inc.,Staffing & Employment Services,Industrials
1132,HTGC,3.03B,"Hercules Capital, Inc.",Asset Management,Financials
1133,ABR,3.02B,"Arbor Realty Trust, Inc.",REIT - Mortgage,Real Estate
1134,CAAP,3.01B,Corporación América Airports S.A.,Airports & Air Services,Industrials
1135,OII,3.01B,"Oceaneering International, Inc.",Oil & Gas Equipment & Services,Energy
1136,BUR,3.00B,Burford Capital Limited,Asset Management,Financials
1137,JOE,3.00B,The St. Joe Company,Real Estate - Diversified,Real Estate
1138,BANC,3.00B,"Banc of California, Inc.",Banks - Regional,Financials
1139,TDC,2.98B,Teradata Corporation,Software - Infrastructure,Technology
1140,HBI,2.98B,Hanesbrands Inc.,Apparel Manufacturing,Consumer Discretionary
1141,NSP,2.98B,"Insperity, Inc.",Staffing & Employment Services,Industrials
1142,CCS,2.96B,"Century Communities, Inc.",Real Estate - Development,Real Estate
1143,VSCO,2.94B,Victoria's Secret & Co.,Apparel Retail,Consumer Discretionary
1144,BFH,2.93B,"Bread Financial Holdings, Inc.",Credit Services,Financials
1145,BHC,2.92B,Bausch Health Companies Inc.,Drug Manufacturers - Specialty & Generic,Healthcare
1146,MANU,2.91B,Manchester United plc,Entertainment,Communication Services
1147,WRBY,2.89B,Warby Parker Inc.,Medical Instruments & Supplies,Healthcare
1148,KWR,2.89B,Quaker Chemical Corporation,Specialty Chemicals,Materials
1149,WLY,2.88B,"John Wiley & Sons, Inc.",Publishing,Communication Services
1150,NPWR,2.86B,NET Power Inc.,Specialty Industrial Machinery,Industrials
1151,AZZ,2.85B,AZZ Inc.,Specialty Business Services,Industrials
1152,FCPT,2.85B,"Four Corners Property Trust, Inc.",REIT - Retail,Real Estate
1153,NOMD,2.84B,Nomad Foods Limited,Packaged Foods,Consumer Staples
1154,PAR,2.84B,PAR Technology Corporation,Software - Application,Technology
1155,WLYB,2.83B,"John Wiley & Sons, Inc.",Publishing,Communication Services
1156,PFS,2.83B,"Provident Financial Services, Inc.",Banks - Regional,Financials
1157,SBSW,2.82B,Sibanye Stillwater Limited,Other Precious Metals & Mining,Materials
1158,CON,2.82B,"Concentra Group Holdings Parent, Inc.",Medical Care Facilities,Healthcare
1159,ENVA,2.80B,"Enova International, Inc.",Credit Services,Financials
1160,ENR,2.79B,"Energizer Holdings, Inc.",Electrical Equipment & Parts,Industrials
1161,USAC,2.77B,"USA Compression Partners, LP",Oil & Gas Equipment & Services,Energy
1162,LXP,2.77B,LXP Industrial Trust,REIT - Industrial,Real Estate
1163,HNI,2.75B,HNI Corporation,Business Equipment & Supplies,Industrials
1164,QS,2.74B,QuantumScape Corporation,Auto Parts,Consumer Discretionary
1165,HAFN,2.73B,Hafnia Limited,Marine Shipping,Industrials
1166,TDW,2.73B,Tidewater Inc.,Oil & Gas Equipment & Services,Energy
1167,AIN,2.70B,Albany International Corp.,Textile Manufacturing,Consumer Discretionary
1168,MTX,2.70B,Minerals Technologies Inc.,Specialty Chemicals,Materials
1169,ENOV,2.70B,Enovis Corporation,Specialty Industrial Machinery,Industrials
1170,LSPD,2.69B,Lightspeed Commerce Inc.,Software - Application,Technology
1171,MPW,2.69B,"Medical Properties Trust, Inc.",REIT - Healthcare Facilities,Real Estate
1172,RVLV,2.69B,"Revolve Group, Inc.",Internet Retail,Consumer Discretionary
1173,GRND,2.68B,Grindr Inc.,Software - Application,Technology
1174,ZIM,2.68B,ZIM Integrated Shipping Services Ltd.,Marine Shipping,Industrials
1175,FBK,2.67B,FB Financial Corporation,Banks - Regional,Financials
1176,EPAC,2.67B,Enerpac Tool Group Corp.,Specialty Industrial Machinery,Industrials
1177,KLC,2.66B,"KinderCare Learning Companies, Inc.",Diversified Consumer Services,Consumer Discretionary
1178,SDRL,2.65B,Seadrill Limited,Oil & Gas Drilling,Energy
1179,MCW,2.65B,"Mister Car Wash, Inc.",Auto & Truck Dealerships,Consumer Discretionary
1180,AESI,2.61B,Atlas Energy Solutions Inc.,Oil & Gas Equipment & Services,Energy
1181,VSTO,2.59B,Vista Outdoor Inc.,Leisure,Consumer Discretionary
1182,AAP,2.58B,"Advance Auto Parts, Inc.",Specialty Retail,Consumer Discretionary
1183,SPB,2.57B,"Spectrum Brands Holdings, Inc.",Household & Personal Products,Consumer Staples
1184,SID,2.57B,Companhia Siderúrgica Nacional,Steel,Materials
1185,PAGS,2.56B,PagSeguro Digital Ltd.,Software - Infrastructure,Technology
1186,SXI,2.56B,Standex International Corporation,Specialty Industrial Machinery,Industrials
1187,BKE,2.56B,"The Buckle, Inc.",Apparel Retail,Consumer Discretionary
1188,CPRI,2.54B,Capri Holdings Limited,Luxury Goods,Consumer Discretionary
1189,SPNT,2.53B,SiriusPoint Ltd.,Insurance - Reinsurance,Financials
1190,PACS,2.52B,"PACS Group, Inc.",Medical Care Facilities,Healthcare
1191,CURB,2.52B,Curbline Properties Corp.,REIT - Retail,Real Estate
1192,CDE,2.52B,"Coeur Mining, Inc.",Gold,Materials
1193,CWH,2.51B,"Camping World Holdings, Inc.",Auto & Truck Dealerships,Consumer Discretionary
1194,AIR,2.49B,AAR Corp.,Aerospace & Defense,Industrials
1195,YELP,2.47B,Yelp Inc.,Internet Content & Information,Communication Services
1196,MTRN,2.46B,Materion Corporation,Other Industrial Metals & Mining,Materials
1197,RNST,2.45B,Renasant Corporation,Banks - Regional,Financials
1198,AVAL,2.45B,Grupo Aval Acciones y Valores S.A.,Banks - Regional,Financials
1199,STNG,2.45B,Scorpio Tankers Inc.,Oil & Gas Midstream,Energy
1200,ALG,2.44B,Alamo Group Inc.,Farm & Heavy Construction Machinery,Industrials
1201,AKO.A,2.44B,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,Consumer Staples
1202,AKO.B,2.44B,Embotelladora Andina S.A.,Beverages - Non-Alcoholic,Consumer Staples
1203,HI,2.43B,"Hillenbrand, Inc.",Specialty Industrial Machinery,Industrials
1204,CXW,2.42B,"CoreCivic, Inc.",Security & Protection Services,Industrials
1205,UTZ,2.42B,"Utz Brands, Inc.",Packaged Foods,Consumer Staples
1206,TR,2.40B,"Tootsie Roll Industries, Inc.",Confectioners,Consumer Staples
1207,CNMD,2.40B,CONMED Corporation,Medical Devices,Healthcare
1208,DBRG,2.39B,"DigitalBridge Group, Inc.",Real Estate Services,Real Estate
1209,CABO,2.39B,"Cable One, Inc.",Telecom Services,Communication Services
1210,B,2.39B,Barnes Group Inc.,Specialty Industrial Machinery,Industrials
1211,SAH,2.38B,"Sonic Automotive, Inc.",Auto & Truck Dealerships,Consumer Discretionary
1212,PHIN,2.37B,PHINIA Inc.,Auto Parts,Consumer Discretionary
1213,BTE,2.36B,Baytex Energy Corp.,Oil & Gas Exploration & Production,Energy
1214,IVT,2.36B,InvenTrust Properties Corp.,REIT - Retail,Real Estate
1215,CEPU,2.34B,Central Puerto S.A.,Utilities - Regulated Electric,Utilities
1216,ARDT,2.34B,"Ardent Health Partners, Inc.",Medical Care Facilities,Healthcare
1217,EVTC,2.34B,"EVERTEC, Inc.",Software - Infrastructure,Technology
1218,CMBT,2.33B,Cmb.Tech NV,Oil & Gas Midstream,Energy
1219,FL,2.33B,"Foot Locker, Inc.",Apparel Retail,Consumer Discretionary
1220,RLX,2.33B,RLX Technology Inc.,Tobacco,Consumer Staples
1221,VSH,2.33B,"Vishay Intertechnology, Inc.",Semiconductors,Technology
1222,FIHL,2.30B,Fidelis Insurance Holdings Limited,Insurance - Diversified,Financials
1223,WNS,2.30B,WNS (Holdings) Limited,Information Technology Services,Technology
1224,AGM,2.30B,Federal Agricultural Mortgage Corporation,Credit Services,Financials
1225,VZIO,2.29B,VIZIO Holding Corp.,Consumer Electronics,Technology
1226,WS,2.29B,"Worthington Steel, Inc.",Steel,Materials
1227,KMT,2.29B,Kennametal Inc.,Tools & Accessories,Industrials
1228,MBC,2.27B,"MasterBrand, Inc.","Furnishings, Fixtures & Appliances",Consumer Discretionary
1229,SWI,2.27B,SolarWinds Corporation,Software - Infrastructure,Technology
1230,NATL,2.26B,NCR Atleos Corporation,Software - Application,Technology
1231,AGM.A,2.25B,Federal Agricultural Mortgage Corporation,Credit Services,Financials
1232,CALX,2.24B,"Calix, Inc.",Software - Infrastructure,Technology
1233,AMBP,2.22B,Ardagh Metal Packaging S.A.,Packaging & Containers,Consumer Discretionary
1234,LOB,2.20B,"Live Oak Bancshares, Inc.",Banks - Regional,Financials
1235,AAT,2.18B,"American Assets Trust, Inc.",REIT - Diversified,Real Estate
1236,SOC,2.17B,Sable Offshore Corp.,Oil & Gas Drilling,Energy
1237,SHO,2.16B,"Sunstone Hotel Investors, Inc.",REIT - Hotel & Motel,Real Estate
1238,EQC,2.16B,Equity Commonwealth,REIT - Office,Real Estate
1239,KAR,2.16B,"OPENLANE, Inc.",Auto & Truck Dealerships,Consumer Discretionary
1240,IBTA,2.16B,"Ibotta, Inc.",Software - Application,Technology
1241,VYX,2.15B,NCR Voyix Corporation,Information Technology Services,Technology
1242,VSTS,2.15B,Vestis Corporation,Rental & Leasing Services,Industrials
1243,OFG,2.14B,OFG Bancorp,Banks - Regional,Financials
1244,CDLR,2.12B,Cadeler A/S,Engineering & Construction,Industrials
1245,HTH,2.12B,Hilltop Holdings Inc.,Banks - Regional,Financials
1246,GBX,2.12B,"The Greenbrier Companies, Inc.",Railroads,Industrials
1247,AGX,2.12B,"Argan, Inc.",Engineering & Construction,Industrials
1248,STC,2.11B,Stewart Information Services Corporation,Insurance - Property & Casualty,Financials
1249,BAK,2.11B,Braskem S.A.,Chemicals,Materials
1250,CXM,2.11B,"Sprinklr, Inc.",Software - Application,Technology
1251,VTMX,2.10B,"Corporación Inmobiliaria Vesta, S.A.B. de C.V.",Real Estate - Development,Real Estate
1252,CCU,2.08B,Compañía Cervecerías Unidas S.A.,Beverages - Brewers,Consumer Staples
1253,TDOC,2.07B,"Teladoc Health, Inc.",Health Information Services,Healthcare
1254,WOR,2.07B,"Worthington Enterprises, Inc.",Metal Fabrication,Industrials
1255,KSS,2.04B,Kohl's Corporation,Department Stores,Consumer Discretionary
1256,SEMR,2.04B,"Semrush Holdings, Inc.",Software - Application,Technology
1257,DKL,2.04B,"Delek Logistics Partners, LP",Oil & Gas Refining & Marketing,Energy
1258,TALO,2.03B,Talos Energy Inc.,Oil & Gas Exploration & Production,Energy
1259,RAMP,2.02B,"LiveRamp Holdings, Inc.",Software - Infrastructure,Technology
1260,LU,2.02B,Lufax Holding Ltd,Credit Services,Financials
1261,ZGN,2.01B,Ermenegildo Zegna N.V.,Apparel Manufacturing,Consumer Discretionary
1262,INSW,2.01B,"International Seaways, Inc.",Oil & Gas Midstream,Energy
1263,OI,2.01B,"O-I Glass, Inc.",Packaging & Containers,Consumer Discretionary
1264,PRG,2.00B,"PROG Holdings, Inc.",Rental & Leasing Services,Industrials
1265,ROG,1.99B,Rogers Corporation,Electronic Components,Technology
1266,CRI,1.99B,"Carter's, Inc.",Apparel Retail,Consumer Discretionary
1267,BBUC,1.99B,Brookfield Business Corporation,Asset Management,Financials
1268,WMK,1.98B,"Weis Markets, Inc.",Grocery Stores,Consumer Staples
1269,TROX,1.97B,Tronox Holdings plc,Chemicals,Materials
1270,FCF,1.97B,First Commonwealth Financial Corporation,Banks - Regional,Financials
1271,GENI,1.96B,Genius Sports Limited,Internet Content & Information,Communication Services
1272,TSLX,1.95B,"Sixth Street Specialty Lending, Inc.",Asset Management,Financials
1273,DRH,1.95B,DiamondRock Hospitality Company,REIT - Hotel & Motel,Real Estate
1274,HG,1.94B,"Hamilton Insurance Group, Ltd.",Insurance - Reinsurance,Financials
1275,LGF.A,1.94B,Lions Gate Entertainment Corp.,Entertainment,Communication Services
1276,CVI,1.94B,"CVR Energy, Inc.",Oil & Gas Refining & Marketing,Energy
1277,PD,1.92B,"PagerDuty, Inc.",Software - Application,Technology
1278,PRM,1.92B,"Perimeter Solutions, Inc.",Specialty Chemicals,Materials
1279,NABL,1.92B,"N-able, Inc.",Information Technology Services,Technology
1280,VVX,1.91B,"V2X, Inc.",Aerospace & Defense,Industrials
1281,WWW,1.90B,"Wolverine World Wide, Inc.",Footwear & Accessories,Consumer Discretionary
1282,AG,1.90B,First Majestic Silver Corp.,Silver,Materials
1283,LZB,1.90B,La-Z-Boy Incorporated,"Furnishings, Fixtures & Appliances",Consumer Discretionary
1284,HE,1.89B,"Hawaiian Electric Industries, Inc.",Utilities - Regulated Electric,Utilities
1285,NBHC,1.88B,National Bank Holdings Corporation,Banks - Regional,Financials
1286,KOS,1.86B,Kosmos Energy Ltd.,Oil & Gas Exploration & Production,Energy
1287,LC,1.86B,LendingClub Corporation,Banks - Regional,Financials
1288,VRE,1.86B,"Veris Residential, Inc.",REIT - Residential,Real Estate
1289,SJW,1.86B,SJW Group,Utilities - Regulated Water,Utilities
1290,BOWL,1.86B,Bowlero Corp.,Leisure,Consumer Discretionary
1291,CTRI,1.85B,"Centuri Holdings, Inc.",Utilities - Regulated Gas,Utilities
1292,MSDL,1.84B,Morgan Stanley Direct Lending Fund,-,-
1293,UP,1.84B,Wheels Up Experience Inc.,Airports & Air Services,Industrials
1294,CSTM,1.83B,Constellium SE,Aluminum,Materials
1295,AMC,1.83B,"AMC Entertainment Holdings, Inc.",Entertainment,Communication Services
1296,NGVT,1.83B,Ingevity Corporation,Specialty Chemicals,Materials
1297,GTY,1.81B,Getty Realty Corp.,REIT - Retail,Real Estate
1298,CUBI,1.81B,"Customers Bancorp, Inc.",Banks - Regional,Financials
1299,BKV,1.81B,BKV Corporation,"Oil, Gas & Consumable Fuels",Energy
1300,BWLP,1.80B,BW LPG Limited,Marine Shipping,Industrials
1301,HLIO,1.79B,"Helios Technologies, Inc.",Specialty Industrial Machinery,Industrials
1302,THS,1.79B,"TreeHouse Foods, Inc.",Packaged Foods,Consumer Staples
1303,GLP,1.79B,Global Partners LP,Oil & Gas Midstream,Energy
1304,EPC,1.79B,Edgewell Personal Care Company,Household & Personal Products,Consumer Staples
1305,MSGE,1.79B,Madison Square Garden Entertainment Corp.,Leisure,Consumer Discretionary
1306,OBDE,1.78B,Blue Owl Capital Corporation III,Asset Management,Financials
1307,CODI,1.78B,Compass Diversified,Conglomerates,Industrials
1308,ARCO,1.78B,Arcos Dorados Holdings Inc.,Restaurants,Consumer Discretionary
1309,EDN,1.78B,Empresa Distribuidora y Comercializadora Norte Sociedad Anónima,Utilities - Regulated Electric,Utilities
1310,LGF.B,1.77B,Lions Gate Entertainment Corp.,Entertainment,Communication Services
1311,WGO,1.77B,"Winnebago Industries, Inc.",Recreational Vehicles,Consumer Discretionary
1312,DFIN,1.77B,"Donnelley Financial Solutions, Inc.",Software - Application,Technology
1313,NWN,1.76B,Northwest Natural Holding Company,Utilities - Regulated Gas,Utilities
1314,LEG,1.75B,"Leggett & Platt, Incorporated","Furnishings, Fixtures & Appliances",Consumer Discretionary
1315,DBD,1.75B,"Diebold Nixdorf, Incorporated",Software - Application,Technology
1316,SCL,1.75B,Stepan Company,Specialty Chemicals,Materials
1317,BHE,1.74B,"Benchmark Electronics, Inc.",Electronic Components,Technology
1318,GNL,1.74B,"Global Net Lease, Inc.",REIT - Diversified,Real Estate
1319,LTC,1.74B,"LTC Properties, Inc.",REIT - Healthcare Facilities,Real Estate
1320,MLNK,1.74B,"MeridianLink, Inc.",Software - Application,Technology
1321,KLG,1.74B,WK Kellogg Co,Packaged Foods,Consumer Staples
1322,SAND,1.73B,Sandstorm Gold Ltd.,Gold,Materials
1323,WTTR,1.73B,"Select Water Solutions, Inc.",Oil & Gas Equipment & Services,Energy
1324,WT,1.72B,"WisdomTree, Inc.",Asset Management,Financials
1325,DAVA,1.72B,Endava plc,Software - Infrastructure,Technology
1326,TNC,1.72B,Tennant Company,Specialty Industrial Machinery,Industrials
1327,MNR,1.71B,Mach Natural Resources LP,Oil & Gas Exploration & Production,Energy
1328,VRTS,1.71B,"Virtus Investment Partners, Inc.",Asset Management,Financials
1329,STEL,1.70B,"Stellar Bancorp, Inc.",Banks - Regional,Financials
1330,NIC,1.70B,"Nicolet Bankshares, Inc.",Banks - Regional,Financials
1331,SDHC,1.70B,Smith Douglas Homes Corp.,Real Estate - Development,Real Estate
1332,KN,1.70B,Knowles Corporation,Electronic Components,Technology
1333,ADNT,1.69B,Adient plc,Auto Parts,Consumer Discretionary
1334,WKC,1.68B,World Kinect Corporation,Oil & Gas Refining & Marketing,Energy
1335,HMN,1.68B,Horace Mann Educators Corporation,Insurance - Property & Casualty,Financials
1336,NTB,1.68B,The Bank of N.T. Butterfield & Son Limited,Banks - Diversified,Financials
1337,ASAI,1.68B,Sendas Distribuidora S.A.,Grocery Stores,Consumer Staples
1338,CTS,1.67B,CTS Corporation,Electronic Components,Technology
1339,HLX,1.66B,"Helix Energy Solutions Group, Inc.",Oil & Gas Equipment & Services,Energy
1340,REVG,1.66B,"REV Group, Inc.",Farm & Heavy Construction Machinery,Industrials
1341,PEB,1.66B,Pebblebrook Hotel Trust,REIT - Hotel & Motel,Real Estate
1342,CMRE,1.64B,Costamare Inc.,Marine Shipping,Industrials
1343,JBGS,1.64B,JBG SMITH Properties,REIT - Office,Real Estate
1344,MMI,1.64B,"Marcus & Millichap, Inc.",Real Estate Services,Real Estate
1345,XPRO,1.63B,Expro Group Holdings N.V.,Oil & Gas Equipment & Services,Energy
1346,MODG,1.63B,Topgolf Callaway Brands Corp.,Leisure,Consumer Discretionary
1347,BV,1.63B,"BrightView Holdings, Inc.",Specialty Business Services,Industrials
1348,VET,1.62B,Vermilion Energy Inc.,Oil & Gas Exploration & Production,Energy
1349,FINV,1.62B,FinVolution Group,Credit Services,Financials
1350,NEP,1.62B,"NextEra Energy Partners, LP",Utilities - Renewable,Utilities
1351,NAPA,1.62B,"The Duckhorn Portfolio, Inc.",Beverages - Wineries & Distilleries,Consumer Staples
1352,DHT,1.62B,"DHT Holdings, Inc.",Oil & Gas Midstream,Energy
1353,FDP,1.61B,Fresh Del Monte Produce Inc.,Farm Products,Consumer Staples
1354,ERO,1.61B,Ero Copper Corp.,Copper,Materials
1355,XHR,1.60B,"Xenia Hotels & Resorts, Inc.",REIT - Hotel & Motel,Real Estate
1356,DNOW,1.59B,DNOW Inc.,Industrial Distribution,Industrials
1357,KEN,1.58B,Kenon Holdings Ltd.,Utilities - Independent Power Producers,Utilities
1358,ARIS,1.57B,"Aris Water Solutions, Inc.",Utilities - Regulated Water,Utilities
1359,SCS,1.56B,Steelcase Inc.,"Furnishings, Fixtures & Appliances",Consumer Discretionary
1360,DAC,1.56B,Danaos Corporation,Marine Shipping,Industrials
1361,PX,1.56B,"P10, Inc.",Asset Management,Financials
1362,FSM,1.56B,Fortuna Mining Corp.,Gold,Materials
1363,FOR,1.56B,Forestar Group Inc.,Real Estate - Development,Real Estate
1364,GRDN,1.55B,"Guardian Pharmacy Services, Inc.",Pharmaceutical Retailers,Healthcare
1365,SVV,1.55B,"Savers Value Village, Inc.",Specialty Retail,Consumer Discretionary
1366,GSBD,1.55B,"Goldman Sachs BDC, Inc.",Asset Management,Financials
1367,KW,1.54B,"Kennedy-Wilson Holdings, Inc.",Real Estate Services,Real Estate
1368,RLJ,1.54B,RLJ Lodging Trust,REIT - Hotel & Motel,Real Estate
1369,TPC,1.53B,Tutor Perini Corporation,Engineering & Construction,Industrials
1370,UMH,1.53B,"UMH Properties, Inc.",REIT - Residential,Real Estate
1371,ZUO,1.52B,"Zuora, Inc.",Software - Infrastructure,Technology
1372,KRP,1.52B,"Kimbell Royalty Partners, LP",Oil & Gas Exploration & Production,Energy
1373,SAFE,1.51B,Safehold Inc.,REIT - Diversified,Real Estate
1374,NMM,1.50B,Navios Maritime Partners L.P.,Marine Shipping,Industrials
1375,LADR,1.50B,Ladder Capital Corp,REIT - Mortgage,Real Estate
1376,UNFI,1.49B,"United Natural Foods, Inc.",Food Distribution,Consumer Staples
1377,PBI,1.48B,Pitney Bowes Inc.,Integrated Freight & Logistics,Industrials
1378,NX,1.48B,Quanex Building Products Corporation,Building Products & Equipment,Industrials
1379,USPH,1.48B,"U.S. Physical Therapy, Inc.",Medical Care Facilities,Healthcare
1380,DEA,1.47B,"Easterly Government Properties, Inc.",REIT - Office,Real Estate
1381,SPHR,1.47B,Sphere Entertainment Co.,Entertainment,Communication Services
1382,TGI,1.47B,"Triumph Group, Inc.",Aerospace & Defense,Industrials
1383,DOLE,1.46B,Dole plc,Farm Products,Consumer Staples
1384,LNN,1.44B,Lindsay Corporation,Farm & Heavy Construction Machinery,Industrials
1385,ELME,1.44B,Elme Communities,REIT - Residential,Real Estate
1386,SFL,1.44B,SFL Corporation Ltd.,Marine Shipping,Industrials
1387,GEL,1.44B,"Genesis Energy, L.P.",Oil & Gas Midstream,Energy
1388,SBH,1.44B,"Sally Beauty Holdings, Inc.",Specialty Retail,Consumer Discretionary
1389,DX,1.43B,"Dynex Capital, Inc.",REIT - Mortgage,Real Estate
1390,UVV,1.43B,Universal Corporation,Tobacco,Consumer Staples
1391,SILA,1.43B,"Sila Realty Trust, Inc.",REIT - Healthcare Facilities,Real Estate
1392,TNK,1.43B,Teekay Tankers Ltd.,Oil & Gas Midstream,Energy
1393,AMRC,1.43B,"Ameresco, Inc.",Engineering & Construction,Industrials
