number,ticker,cap,name,industry,sector
786,MTN,7.01B,"Vail Resorts, Inc.",Resorts & Casinos,Consumer Discretionary
787,RHP,7.00B,"Ryman Hospitality Properties, Inc.",REIT - Hotel & Motel,Real Estate
788,VIPS,6.96B,Vipshop Holdings Limited,Internet Retail,Consumer Discretionary
789,BLCO,6.93B,Bausch + Lomb Corporation,Medical Instruments & Supplies,Healthcare
790,MSA,6.93B,MSA Safety Incorporated,Security & Protection Services,Industrials
791,POST,6.89B,"Post Holdings, Inc.",Packaged Foods,Consumer Staples
792,PJT,6.88B,PJT Partners Inc.,Capital Markets,Financials
793,ADT,6.87B,ADT Inc.,Security & Protection Services,Industrials
794,OMF,6.85B,"OneMain Holdings, Inc.",Credit Services,Financials
795,HIMS,6.85B,"Hims & Hers Health, Inc.",Household & Personal Products,Consumer Staples
796,ZWS,6.83B,Zurn Elkay Water Solutions Corporation,Pollution & Treatment Controls,Industrials
797,STAG,6.83B,"STAG Industrial, Inc.",REIT - Industrial,Real Estate
798,STWD,6.82B,"Starwood Property Trust, Inc.",REIT - Mortgage,Real Estate
799,COLD,6.82B,"Americold Realty Trust, Inc.",REIT - Industrial,Real Estate
800,LEVI,6.79B,Levi Strauss & Co.,Apparel Manufacturing,Consumer Discretionary
801,ALK,6.78B,"Alaska Air Group, Inc.",Airlines,Industrials
802,TIMB,6.76B,TIM S.A.,Telecom Services,Communication Services
803,IONQ,6.68B,"IonQ, Inc.",Computer Hardware,Technology
804,GBCI,6.68B,"Glacier Bancorp, Inc.",Banks - Regional,Financials
805,MTG,6.67B,MGIC Investment Corporation,Insurance - Specialty,Financials
806,BFAM,6.67B,Bright Horizons Family Solutions Inc.,Personal Services,Consumer Discretionary
807,TX,6.63B,Ternium S.A.,Steel,Materials
808,ELAN,6.62B,Elanco Animal Health Incorporated,Drug Manufacturers - Specialty & Generic,Healthcare
809,IBP,6.60B,"Installed Building Products, Inc.",Residential Construction,Consumer Discretionary
810,COTY,6.55B,Coty Inc.,Household & Personal Products,Consumer Staples
811,WHR,6.51B,Whirlpool Corporation,"Furnishings, Fixtures & Appliances",Consumer Discretionary
812,HRI,6.50B,Herc Holdings Inc.,Rental & Leasing Services,Industrials
813,QTWO,6.48B,"Q2 Holdings, Inc.",Software - Application,Technology
814,BMI,6.48B,"Badger Meter, Inc.",Scientific & Technical Instruments,Technology
815,BYD,6.45B,Boyd Gaming Corporation,Resorts & Casinos,Consumer Discretionary
816,BIPC,6.42B,Brookfield Infrastructure Corporation,Utilities - Regulated Gas,Utilities
817,ARW,6.40B,"Arrow Electronics, Inc.",Electronics & Computer Distribution,Technology
818,HOMB,6.37B,"Home Bancshares, Inc. (Conway, AR)",Banks - Regional,Financials
819,DAR,6.37B,Darling Ingredients Inc.,Packaged Foods,Consumer Staples
820,IDA,6.34B,"IDACORP, Inc.",Utilities - Regulated Electric,Utilities
821,HR,6.32B,Healthcare Realty Trust Incorporated,REIT - Healthcare Facilities,Real Estate
822,NOV,6.32B,NOV Inc.,Oil & Gas Equipment & Services,Energy
